                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.77573,                0.41967,                 0.9566,                0.98882,                0.98324,                0.99356,                 0.7821,                0.85472,                0.38461,                 0.9767,             0.00063196,             0.00063196,             0.00063196
                     75,                0.77297,                0.41571,                0.94475,                0.98017,                0.98883,                0.99367,                0.77653,                 0.8476,                0.38919,                0.97591,             0.00063006,             0.00063006,             0.00063006
                     76,                0.75853,                0.41393,                0.95547,                0.97853,                0.99243,                0.99388,                  0.781,                0.86537,                0.38128,                0.98093,             0.00062816,             0.00062816,             0.00062816
                     77,                 0.7644,                0.40774,                0.93726,                0.97906,                0.98762,                0.99259,                0.78107,                0.86816,                0.39038,                0.98764,             0.00062625,             0.00062625,             0.00062625
                     78,                0.77585,                0.41234,                0.93941,                0.97367,                0.99125,                0.99254,                0.77378,                 0.8595,                0.38319,                0.98111,             0.00062435,             0.00062435,             0.00062435
                     79,                0.76511,                0.40917,                0.93242,                0.96586,                0.98185,                0.99105,                0.77925,                0.84699,                 0.3908,                0.97481,             0.00062245,             0.00062245,             0.00062245
                     80,                0.77116,                0.41226,                0.94396,                0.96082,                 0.9809,                0.99242,                0.76628,                0.86188,                0.39364,                0.98046,             0.00062054,             0.00062054,             0.00062054
                     81,                0.76442,                0.40912,                0.94263,                0.96007,                0.97067,                0.99003,                0.77429,                0.86466,                0.40053,                0.97834,             0.00061864,             0.00061864,             0.00061864
                     82,                0.76422,                0.41388,                0.93704,                0.96869,                0.97441,                0.99039,                0.77933,                0.86219,                0.38316,                0.98098,             0.00061674,             0.00061674,             0.00061674
                     83,                0.75479,                0.39999,                0.93799,                0.97264,                0.99243,                0.99349,                0.76692,                0.88418,                0.38233,                0.97946,             0.00061483,             0.00061483,             0.00061483
                     84,                0.75771,                0.39868,                 0.9278,                0.97663,                 0.9861,                0.99391,                 0.7784,                0.87803,                0.38363,                0.98628,             0.00061293,             0.00061293,             0.00061293
                     85,                0.76511,                0.40708,                0.93543,                0.98282,                0.99092,                0.99386,                 0.7811,                0.89252,                 0.3736,                 0.9927,             0.00061103,             0.00061103,             0.00061103
                     86,                 0.7673,                0.41768,                 0.9363,                 0.9742,                0.98955,                0.99375,                0.78091,                0.86031,                0.37359,                0.98936,             0.00060912,             0.00060912,             0.00060912
                     87,                0.75859,                0.40742,                0.94616,                0.97653,                0.98856,                0.99365,                 0.7812,                0.85058,                 0.3755,                0.98746,             0.00060722,             0.00060722,             0.00060722
                     88,                0.76704,                0.40511,                0.94429,                0.98602,                0.97732,                0.99365,                0.78146,                0.85192,                0.37552,                0.98556,             0.00060532,             0.00060532,             0.00060532
                     89,                0.74793,                0.40439,                0.93087,                0.98561,                0.98375,                0.99389,                0.78342,                0.88112,                 0.3794,                0.99435,             0.00060342,             0.00060342,             0.00060342
                     90,                0.75056,                0.39272,                0.93669,                0.98057,                0.98461,                0.99338,                0.77725,                0.88604,                0.37507,                 0.9906,             0.00060151,             0.00060151,             0.00060151
